Participant,Pretest.Type,Motivation.Score,Strategy.Score,Pretest.Score,Posttest.Score,Avg.PupilSize,text_1.Hit,text_1.Duration,text_2.Hit,text_2.Duration,text_3.Hit,text_3.Duration,text_4.Hit,text_4.Duration,text_5.Hit,text_5.Duration,text_6.Hit,text_6.Duration,text_7.Hit,text_7.Duration,table.Hit,table.Duration,membrane_top.Hit,membrane_top.Duration,membrane_bottom.Hit,membrane_bottom.Duration,membrane_left.Hit,membrane_left.Duration,membrane_right.Hit,membrane_right.Duration,k_1.Hit,k_1.Duration,k_2.Hit,k_2.Duration,k_3.Hit,k_3.Duration,k_4.Hit,k_4.Duration,k_5.Hit,k_5.Duration,k_6.Hit,k_6.Duration,k_7.Hit,k_7.Duration,formula_1.Hit,formula_1.Duration,formula_2.Hit,formula_2.Duration,formula_3.Hit,formula_3.Duration,cl_1.Hit,cl_1.Duration,cl_2.Hit,cl_2.Duration,cl_3.Hit,cl_3.Duration,channel_1.Hit,channel_1.Duration,channel_2.Hit,channel_2.Duration,channel_3.Hit,channel_3.Duration,channel_4.Hit,channel_4.Duration,channel_5.Hit,channel_5.Duration,graph_1.Hit,graph_1.Duration,graph_2.Hit,graph_2.Duration,K+ ions.Hit,K+ ions.Duration,electrical gradient.Hit,electrical gradient.Duration,Na channel.Hit,Na channel.Duration,chemical gradient.Hit,chemical gradient.Duration,Resting membrane potential.Hit,Resting membrane potential.Duration,Na-K Pump.Hit,Na-K Pump.Duration,k channel.Hit,k channel.Duration,cl channel.Hit,cl channel.Duration,Cl- ions.Hit,Cl- ions.Duration,permeability.Hit,permeability.Duration,axon.Hit,axon.Duration,na ions.Hit,na ions.Duration,neuron.Hit,neuron.Duration,diffusion.Hit,diffusion.Duration
Longmorn_2_1,T,32,33,0,5,17.30641085,2,160,40,9049,30,7568,23,4191,31,6412,36,9385,4,632,22,4871,32,9000,99,19165,36,9100,51,15490,2,310,5,514,17,3092,16,2694,19,4181,15,2976,15,2988,128,22277,54,10117,116,25811,43,8417,11,3069,86,12047,161,38309,23,4150,22,3183,50,7339,7,1358,30,4607,63,21249,52,18062,26,8527,6,2062,43,14030,34,8012,87,25041,32,5513,16,2699,43,15730,80,19926,12,1953,51,13382,40,11366,89,18154
Longmorn_2_2,T,36,36,0,5,14.00290736,2,1510,50,13641,39,12627,21,4355,43,6543,28,4559,2,267,7,1124,42,20711,56,11424,10,2491,49,10563,1,76,10,5308,20,3586,28,10594,43,19995,12,2412,0,0,133,44357,84,33304,76,13067,42,10104,5,2975,71,20118,99,21154,50,15120,20,5873,57,20779,20,5609,20,3408,40,5702,52,18062,26,8527,6,2062,43,14030,34,8012,87,25041,32,5513,16,2699,43,15730,80,19926,12,1953,51,13382,40,11366,89,18154
Longmorn_3_1,T,28,29,1,6,15.41744828,1,161,32,6750,6,2299,20,4788,31,7163,37,7462,0,0,17,5662,11,4772,72,14232,13,2608,46,11745,3,1104,8,1912,21,4228,25,3846,7,1026,43,7346,4,829,142,31592,22,3049,210,45304,30,8749,5,1676,111,26551,144,42894,44,12268,11,1777,66,15334,0,0,21,4692,69,19932,2,962,33,12840,29,8792,9,2641,103,30519,15,5307,72,20346,108,38432,19,6477,46,12947,5,840,15,5080,2,722,23,9474
Longmorn_3_2,S,29,29,3,6,17.9367427,0,0,29,3448,4,628,49,7042,12,1469,10,1005,10,1519,27,3285,4,453,81,11645,11,1829,47,7637,2,1042,4,376,40,5698,11,1871,7,579,50,5616,3,250,6,495,5,536,43,3803,11,1041,0,0,15,1439,88,12426,0,0,10,1301,25,3425,1,73,21,3787,96,14175,4,1096,38,8940,69,13397,14,2158,94,27430,31,12978,66,19273,122,38346,33,7994,55,15156,2,130,40,9331,2,321,16,3258
Miltonduff_1_1,T,27,35,4,7,16.51396765,3,510,14,2102,10,1958,10,1488,26,3734,8,1145,1,55,3,534,79,16775,43,7271,18,2555,71,12496,6,2304,3,330,27,5098,24,6229,43,9481,4,364,11,1636,131,23346,76,11872,75,15398,12,3370,10,2173,76,16492,50,7982,33,4361,19,2954,47,10404,12,2446,52,8913,45,6465,29,6054,122,25037,10,1018,242,42696,71,14993,11,1902,11,1364,3,437,3,432,34,6542,1,132,1,159,2,175,23,3572
Miltonduff_1_2,T,26,31,4,5,12.43746398,0,0,19,9373,7,2477,34,14423,8,7005,11,7619,0,0,2,460,28,20245,60,25257,9,2560,67,28054,0,0,1,1333,10,3391,15,6302,13,5189,8,1722,2,306,71,27575,40,14201,70,21451,17,4932,1,931,23,5516,65,19172,3,834,6,1156,28,7087,6,1856,37,9098,54,18670,1,96,6,1010,1,207,59,16287,10,2544,4,1022,1,79,8,2187,0,0,18,6318,3,811,0,0,13,2819,2,570
Miltonduff_2_1,S,30,36,0,6,12.25341549,3,495,13,4035,14,2843,29,13466,32,5811,8,3117,1,80,3,1357,5,1925,42,18263,6,1291,17,5494,1,219,5,1699,10,6344,20,9505,9,16153,14,6442,8,2329,35,13571,14,5673,130,41253,19,9016,2,1282,39,21309,63,32037,15,7020,12,7809,32,24588,4,662,8,2919,48,38080,62,18687,46,12184,23,3950,134,32308,91,22714,5,2325,54,16203,4,849,68,13485,91,31336,0,0,99,25359,2,402,2,545
Miltonduff_2_2,S,32,30,1,2,12.11927382,9,1658,11,4639,7,744,21,5749,9,4101,17,8466,0,0,2,738,41,22097,47,16690,24,10112,45,36879,2,371,17,5959,20,7616,24,17467,24,9389,9,2251,16,3192,83,32075,36,15664,96,21755,40,14144,2,370,55,26308,139,62818,25,10335,17,4858,57,30070,13,5854,24,9702,13,3418,68,26480,59,15754,19,7187,173,70471,106,35970,9,5833,39,10806,23,9504,110,39927,70,22585,1,52,98,29669,2,158,14,7989
Oban_1_1,T,27,31,0,6,16.48878735,3,874,23,9656,9,3711,21,6178,16,8516,19,9032,0,0,8,1996,33,20034,55,22144,12,8361,37,24049,4,1328,15,6127,15,5768,24,7468,32,12162,10,2003,0,0,94,30311,38,17912,53,18191,34,14160,2,707,53,16575,65,23792,27,10490,10,2726,68,23151,5,3020,22,4650,93,22856,1,196,36,12046,43,13482,26,7644,15,3803,15,4343,34,11025,19,7382,17,3890,19,7334,5,1919,27,6611,1,95,1,259
Oban_1_2,T,33,31,0,3,11.77664565,1,203,36,16985,37,22966,25,9976,24,11013,18,4564,1,93,13,1439,20,14098,45,15978,10,4176,25,22101,2,1919,13,7112,22,6433,12,4028,16,8927,21,4731,3,1006,95,34996,32,13603,170,49482,29,11196,2,2546,71,39215,136,61026,36,16829,18,5337,56,12885,2,1486,34,10280,75,17800,13,4387,71,20545,125,53177,58,14091,43,9579,21,6336,58,20734,20,8576,79,29706,25,4191,31,4604,83,28038,7,1255,22,7249
Pulteney_1_1,S,25,19,1,3,11.11013529,0,0,9,2020,2,184,87,17415,8,6495,6,1938,0,0,0,0,14,2725,125,21220,28,6324,115,24751,1,141,9,2160,21,2981,13,2902,1,75,16,3482,1,198,68,7645,16,3495,62,12622,32,4042,1,347,27,3559,101,20141,6,984,23,3207,65,13021,0,0,27,4732,27,4670,75,18547,125,30068,84,21107,139,26435,78,14532,30,6231,58,12802,19,4625,17,4235,167,39118,6,931,33,7248,26,5983,37,6883
Pulteney_1_2,S,31,35,0,2,16.30465529,8,1900,31,9835,8,2152,26,12564,11,3950,12,3644,0,0,1,1255,28,8131,49,14022,9,1808,39,8187,3,758,18,5203,19,9773,33,10788,17,2730,19,4367,0,0,123,37951,24,6537,95,31210,20,8594,5,785,56,18444,120,45198,45,11171,14,2915,95,45416,18,4744,18,5440,56,27610,96,36077,77,22927,49,8910,94,17844,45,8835,52,12067,93,24147,15,3025,9,2136,87,16960,10,1229,34,6643,12,1614,53,10061
Pulteney_2_1,S,32,27,1,5,11.76982695,3,607,42,10271,44,11076,25,5327,45,8930,16,2648,1,75,1,95,40,14504,65,14714,20,4934,30,8694,12,4918,15,6314,21,4570,25,8670,41,11139,20,4182,14,2586,151,33939,61,12005,131,25790,81,20744,0,0,47,10720,144,29139,42,9794,27,6383,103,27144,11,2862,29,5034,42,10736,21,3978,46,8435,40,7461,27,4644,25,3759,5,1329,75,13577,24,3630,32,5484,63,11856,2,431,37,6907,64,13276,89,14548
Pulteney_2_2,S,34,22,5,2,13.93648114,0,0,13,8993,0,0,23,13284,10,10354,21,14069,1,336,3,3072,14,4334,49,27645,10,11472,53,39751,0,0,6,1915,18,9683,4,4929,5,1124,10,5870,3,1945,89,36271,28,9957,171,60713,20,5857,0,0,37,12006,63,41685,16,7829,3,925,32,12654,0,0,14,3352,60,43095,24,2984,27,4349,54,9526,14,1783,27,3049,6,440,85,15159,25,5153,40,7463,51,12949,8,907,62,11621,34,6335,115,18790
Speyburn_2_1,T,41,41,0,4,9.590755499,9,3012,23,12355,6,1049,24,13501,3,2461,2,566,0,0,0,0,42,18135,49,22999,2,1214,48,22753,0,0,9,2366,28,14628,10,4548,23,8970,10,4953,7,1324,59,21272,55,20116,20,7172,23,11826,1,275,38,20627,110,45375,4,1273,9,1616,21,12314,8,3019,39,14948,13,4315,12,4013,2,794,4,1092,23,6269,30,8240,3,557,0,0,0,0,0,0,10,3673,1,272,0,0,0,0,10,2534
Speyburn_2_2,T,23,30,0,5,17.07463488,1,73,27,14497,11,2212,31,9547,21,8064,31,9696,2,698,8,1635,44,25003,60,13932,8,9932,25,12083,2,2091,11,9220,41,9885,36,14842,30,11875,17,4300,3,367,130,46211,50,17859,194,59006,45,15687,3,561,73,24956,152,54864,45,21916,19,6139,96,43277,16,10548,26,8151,92,40055,74,30859,40,9947,76,17126,41,10881,71,19186,18,5037,43,9933,25,10277,5,1104,32,5833,6,690,3,530,3,350,24,7809
Speyburn_3_1,S,34,38,0,2,14.27432656,1,56,93,28354,45,13919,125,34042,0,0,0,0,0,0,0,0,48,18895,72,22548,20,11331,41,15971,7,1543,15,6249,28,7226,9,5814,26,9855,33,8266,32,12225,62,19681,55,21262,0,0,42,13016,0,0,64,16154,106,27477,14,2368,9,2466,85,25884,1,227,319,99771,0,0,28,10387,39,10149,26,7713,41,11250,63,19329,59,18293,23,5206,68,18366,5,1145,69,18014,2,834,3,837,0,0,61,15861
Speyburn_3_2,S,34,32,4,6,14.61649543,6,1310,23,5868,9,3443,38,31003,6,3245,12,3226,3,586,0,0,41,12961,40,12900,25,7050,30,13448,2,338,8,3757,13,3423,9,2437,6,984,9,1803,0,0,22,3875,7,983,23,5346,26,9453,0,0,22,13096,32,12234,36,11821,1,320,43,19764,8,7789,2,326,2,584,37,13724,14,2180,16,3609,23,5893,58,13585,20,5088,13,2583,28,10158,5,1021,22,7298,4,401,4,761,5,535,37,8417
Tomatin_1_1,S,28,30,1,5,15.07096024,1,403,10,1747,3,490,1,99,55,11199,43,10146,1,128,1,187,29,6261,42,10545,7,1827,47,15012,1,79,3,670,17,3337,10,3041,17,3967,3,869,0,0,42,8776,9,2028,149,27551,14,3133,0,0,10,1188,44,8246,9,1849,7,1524,15,2470,9,1655,5,989,36,10733,21,4026,15,3172,177,36446,54,11223,17,4656,56,10965,60,13552,36,9671,2,216,164,27299,9,1449,3,625,27,6181,10,1799
Tomatin_1_2,T,28,26,0,4,15.338788,12,8617,58,27887,36,21305,37,12391,17,6127,26,7431,2,379,10,3580,21,10375,47,10608,12,6903,29,17147,2,1451,20,8868,26,7169,39,18184,40,13571,13,5993,10,3673,94,37029,74,27195,186,53142,26,10588,4,1050,41,11573,153,54702,28,10533,16,5130,78,38687,12,7999,50,11427,86,34627,30,9654,24,10647,129,40960,266,113767,51,14934,92,28884,59,21635,40,16510,3,1558,122,37352,9,4609,2,1626,26,8301,7,1526
Tomatin_2_1,S,35,34,0,3,12.33810047,0,0,51,8724,50,12031,16,3636,11,1828,13,1815,0,0,9,2147,7,1046,47,6631,11,1705,32,6757,14,1623,10,1912,2,239,14,2577,2,435,5,1561,7,2889,103,18106,0,0,131,22609,14,2220,5,558,37,4603,220,42393,20,4479,1,343,20,3642,1,175,57,16199,28,5643,5,736,12,2011,12,1806,7,892,1,59,48,14645,13,1823,5,1101,7,802,22,5346,21,5899,9,1950,5,2118,20,9202
Tomatin_2_2,S,30,35,0,5,17.57176521,1,71,48,13598,6,932,11,3664,33,6196,4,537,0,0,0,0,61,29185,56,11813,20,7377,76,29301,1,112,11,4264,18,4793,28,7238,46,11502,9,1632,2,195,151,32241,52,10821,33,7378,49,18283,2,183,89,39672,178,51953,35,10784,26,5095,80,23082,12,2311,8,1919,15,1923,20,15509,12,3173,5,836,20,5968,2,466,15,3456,22,5651,8,2017,0,0,21,6805,31,9267,0,0,3,401,9,2704
Wolfburn_1_1,S,31,30,0,2,14.21104869,4,7453,33,24740,11,12655,31,13842,15,3780,23,9946,2,502,4,2065,26,19443,65,15532,14,3900,29,15012,2,739,16,10659,36,10960,13,10097,27,11565,11,4260,3,3319,138,50195,33,16076,142,46683,37,14669,1,408,64,20873,106,44565,41,16068,14,7157,57,21933,12,9827,25,6510,44,29374,1,308,32,10199,27,8512,77,50172,52,23457,11,7252,4,920,23,5839,16,8494,13,4145,2,747,3,1258,3,850,16,5777
Wolfburn_1_2,T,31,32,0,2,15.49785354,2,123,19,11181,6,1266,22,6281,18,7585,33,13980,0,0,9,1235,49,13137,68,18571,9,1935,31,12782,4,524,24,11228,31,16118,23,7497,21,7886,13,5242,1,107,157,53572,24,6485,159,49381,44,14024,7,3151,62,19209,113,45569,40,8543,18,5143,48,16333,4,504,24,5318,81,25340,2,134,31,4957,31,4532,51,13883,49,8123,8,1023,5,1400,22,4423,16,4190,8,904,1,80,3,991,0,0,20,5412
Wolfburn_2_1,T,27,30,0,6,14.55205304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,15840,88,23449,27,14436,91,23260,224,65274,41,13658,54,15396,22,7168,7,2062,208,66059,18,3997,8,2113,8,1432,115,31207
Wolfburn_2_2,T,29,28,0,6,16.30067227,6,1521,43,17193,40,23812,39,12002,19,5619,19,10097,2,267,11,3609,39,18237,70,15461,10,3981,34,13301,1,59,15,5689,30,7307,32,8549,38,10208,11,3064,5,1748,221,64499,55,18044,113,42717,50,16399,3,818,85,23742,118,29943,25,10219,17,6497,73,23742,14,7398,30,7242,58,20940,90,28292,159,46172,55,24274,132,49710,254,86826,29,5704,69,30441,12,3649,0,0,138,47362,4,868,4,680,9,1957,122,49614
Aberfeldy_0_1,T,30,26,0,7,12.24775335,0,0,44,5399,21,3788,20,2495,16,1982,8,907,0,0,0,0,21,3577,59,8050,20,2523,34,6078,1,163,0,0,20,2416,7,640,22,3218,7,844,1,264,71,9653,24,3569,24,3122,24,3499,2,597,33,4598,109,22151,16,2369,7,1204,20,1970,6,1319,55,8480,52,5984,2,478,32,4851,24,4543,19,1995,45,5559,14,1450,22,2539,9,1433,0,0,17,2445,16,2179,4,595,10,1257,7,809
Aberfeldy_0_2,T,30,29,0,2,12.36148851,0,0,4,828,1,104,35,5685,3,243,22,4722,13,1834,40,5282,13,1441,95,16843,18,2142,57,11471,1,51,9,1052,25,5448,5,1364,3,259,11,1706,6,465,19,3679,6,977,139,29487,17,3865,2,103,12,2578,77,15422,6,1544,4,390,41,6893,4,370,25,3758,48,6021,14,1698,15,2145,5,568,3,483,46,9780,5,1081,6,1412,9,923,2,250,14,2206,0,0,3,437,1,63,2,219
Ardbeg_1_1,T,29,28,0,4,14.91990148,7,2267,34,7889,19,6751,47,9589,7,2367,20,3385,6,1163,31,4763,20,11905,87,21136,11,3972,23,9276,3,2871,6,5045,17,4889,5,4055,9,6590,11,4816,9,3728,43,10869,26,6723,155,27696,42,8582,0,0,88,23582,64,19151,14,4314,2,1664,38,6129,5,3316,39,8050,104,28537,15,4060,42,9142,37,8083,36,7095,99,23951,9,2275,23,4538,64,16373,13,4993,48,15578,10,2666,17,4859,26,6579,19,5444
Ardbeg_1_2,S,27,28,0,3,13.5923546,0,0,14,3570,6,3398,24,14572,22,9913,32,15262,0,0,1,212,1,111,88,35619,17,7514,68,35426,3,1598,12,3219,22,7440,8,1077,3,723,32,14087,30,13822,106,44706,4,1084,118,31177,24,9385,1,67,47,13285,125,43988,15,7446,11,2832,38,12862,2,511,35,11688,57,26254,4,1816,57,17499,33,9796,42,10656,134,37260,22,6834,44,17926,24,6079,11,8674,40,18077,5,3516,7,1916,12,6529,22,7430
Balblair_0_1,T,33,27,1,5,12.57357357,0,0,12,5981,10,9033,29,19744,20,7984,17,4840,0,0,8,4503,12,3630,26,8207,7,1843,24,5345,0,0,0,0,20,5828,0,0,8,2020,2,200,0,0,69,23515,43,17039,0,0,41,14408,0,0,42,13381,30,11722,23,6226,6,1211,73,25647,0,0,6,1286,1,104,31,9867,89,21713,62,18674,70,18148,109,36534,24,6574,50,18608,84,28881,32,9141,47,18307,11,6336,39,9316,0,0,22,4372
Balblair_0_2,S,28,28,2,3,17.85837346,0,0,29,12539,8,4470,48,22503,2,370,5,1116,3,769,1,300,0,0,128,49656,16,16640,17,9286,0,0,3,665,17,6845,4,3970,0,0,33,15002,7,2258,37,16533,0,0,77,38295,35,19523,0,0,20,7109,67,40261,6,3450,18,8375,77,29208,0,0,18,5756,74,43610,11,5012,42,9302,51,15528,73,25035,128,38581,23,3989,29,8021,62,15637,9,3132,90,28770,17,5716,24,4249,1,99,25,4210
Dufftown_0_1,T,27,26,1,5,12.56435553,3,473,29,5446,19,3902,13,1988,24,7454,22,2389,0,0,9,1303,46,10971,88,16018,22,4621,56,12962,2,162,10,2974,26,3074,22,6121,23,8006,22,5475,36,8255,191,36287,54,13529,62,9089,42,7647,4,750,171,42656,205,36165,25,6879,38,5914,45,10676,11,3105,40,7215,68,11654,45,5067,147,21928,47,4775,298,43580,39,4337,2,219,38,4858,20,3343,14,1461,32,4066,6,421,18,2815,18,2306,33,5825
Dufftown_0_2,T,26,29,0,5,16.37068966,14,2316,16,2434,2,234,11,1314,19,1872,4,245,2,187,2,238,22,3491,81,9637,29,3804,14,2537,2,131,7,834,7,689,1,55,4,965,1,55,10,1148,28,3926,52,8731,20,2693,15,1516,0,0,12,1494,5,400,23,3083,0,0,15,1942,7,1536,4,572,21,2430,0,0,0,0,1,284,6,533,3,549,0,0,0,0,0,0,0,0,0,0,1,163,1,96,1,131,1,59
Edradour_0_1,T,37,35,0,3,10.70553877,9,2098,3,262,1,59,14,1222,0,0,0,0,0,0,0,0,26,7831,18,2499,8,1013,15,2497,5,1096,9,2160,8,1848,9,2319,11,2288,12,1108,0,0,42,14854,8,2048,28,3697,1,104,2,119,11,1479,75,14032,13,3026,6,1829,6,829,11,2342,19,1998,1,72,16,2796,48,8883,35,8551,30,5051,55,14067,7,1324,31,6634,21,4141,23,5715,6,721,1,147,32,7454,0,0,22,3234
Edradour_0_2,T,34,39,0,6,12.56537433,0,0,0,0,0,0,2,1618,0,0,0,0,0,0,0,0,1,155,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2455,0,0,2,750,1,259,0,0,0,0,0,0,2,375,0,0,1,187,0,0,0,0,1,152,0,0,1,131,0,0,0,0,0,0,1,471,0,0,0,0,0,0,0,0,0,0,0,0,1,315,0,0
Inchgower_0_1,S,30,33,4,5,12.13919308,5,462,22,3407,13,5758,26,5328,29,5866,7,3685,5,875,29,4442,21,3476,90,26437,68,18649,18,3335,2,1526,19,5506,31,7358,11,4778,5,436,22,4338,10,4048,86,20090,25,3023,175,40497,18,6777,1,367,23,7405,16,4140,94,26143,9,1544,24,5974,6,698,11,1949,87,23617,2,439,21,3013,0,0,16,1849,10,1084,2,192,5,420,6,895,6,591,6,586,1,68,11,1270,7,812,2,194
Inchgower_0_2,T,29,29,2,5,19.50869344,2,122,5,419,1,203,14,4595,10,956,30,4703,0,0,3,239,15,1771,56,8225,1,123,52,10613,0,0,4,501,31,3710,9,1491,4,370,4,437,1,55,96,18092,10,1526,18,2263,25,3307,0,0,54,8462,119,14863,5,436,15,2233,43,6523,3,317,19,1860,20,1995,0,0,2,150,4,369,33,4213,5,531,0,0,3,260,3,247,3,958,1,119,0,0,0,0,5,575,0,0
Klichoman_0_1,T,25,31,0,5,13.38407393,0,0,82,24346,5,1060,26,6819,6,2517,15,6654,0,0,0,0,12,2372,112,38662,23,10771,74,22737,1,200,15,3229,17,5752,6,1614,2,447,22,4448,1,60,120,28899,2,324,14,3660,38,11326,1,1203,54,15923,105,37694,24,5239,19,4819,67,22002,0,0,60,12452,46,13196,13,1481,123,26146,64,12590,47,16302,106,23388,47,11157,265,73716,151,37618,3,387,65,13547,12,2909,27,6747,15,2695,19,2768
Klichoman_0_2,T,29,31,0,4,17.75008489,2,262,7,1092,2,262,60,22880,12,4511,10,7319,2,600,1,271,28,4176,110,31549,23,6520,74,29377,6,760,3,918,10,1875,4,521,3,578,15,4411,2,234,82,19386,42,10277,85,17348,9,1238,1,171,12,2455,67,15951,11,2146,21,4147,44,11783,5,836,18,3765,31,10026,7,805,76,16299,21,3250,49,8706,62,16175,21,3134,39,6741,23,4585,4,598,80,23022,20,2488,9,1753,8,1179,2,334
Mix_clyn_fett_0_1,S,33,28,0,5,14.42129794,5,4093,24,9205,12,9014,22,7236,34,16039,24,9916,11,3294,4,1784,21,11799,39,10017,5,1690,33,10923,3,1362,14,6513,22,6114,21,11163,28,15772,16,4877,10,5438,60,24952,21,14601,73,19683,17,5812,0,0,42,11879,158,60028,23,10663,20,6851,32,10247,11,7726,21,5841,46,18332,107,39429,127,39980,44,13931,265,90106,238,68146,68,18438,123,34730,26,10272,29,10410,154,54957,34,17556,13,3981,20,5842,27,13802
Mix_clyn_fett_0_2,T,29,32,1,4,14.43069106,0,0,22,11233,10,5815,22,5634,13,10224,7,1435,2,559,30,12820,9,3906,86,38834,12,6581,59,29154,0,0,2,251,20,5506,4,641,2,363,10,4874,5,1436,56,23193,25,14728,149,42105,16,5831,0,0,35,12477,89,29641,8,3498,4,1636,43,17358,1,651,59,24330,68,32606,55,23435,53,15778,30,12912,153,58251,185,70901,51,16380,76,36812,14,5379,21,7311,59,14996,20,7571,12,2870,23,9167,34,10802
Mix_duff_spey_0_1,T,35,40,0,6,12.9602308,11,6768,44,21714,46,18325,23,14348,44,21261,16,10830,0,0,27,7332,52,25074,35,11961,9,4408,14,9066,8,5133,8,3883,14,3725,30,12628,49,20106,18,6675,10,3820,86,35876,74,24140,268,86479,31,9434,12,2036,39,16403,166,73294,46,19032,17,8448,111,64184,16,11274,29,9644,63,28689,34,14436,48,11279,63,15274,50,13566,97,31179,48,14696,20,5832,13,2772,2,766,24,6584,25,10321,11,3744,17,6801,19,7380
Mix_duff_spey_0_2,S,25,30,1,1,16.51882989,0,0,20,4453,21,7724,16,5999,6,9138,1,224,2,454,26,20233,0,0,81,48652,8,2298,54,30611,1,2343,1,91,12,3585,14,4505,6,779,13,2950,8,2265,30,11303,38,12417,106,41574,25,10702,0,0,22,3923,75,20287,1,688,8,2218,64,32489,0,0,48,22206,68,34293,21,7595,37,6946,50,13431,29,5672,158,57105,41,14752,23,3802,9,1037,4,386,6,900,3,471,23,8074,0,0,3,530
Oban_0_1,T,29,29,3,6,13.07483553,0,0,10,4167,6,5258,60,18641,1,343,10,2000,1,163,22,6741,6,2235,45,9804,13,3670,7,961,0,0,2,223,29,6296,1,295,1,219,19,3449,7,2791,40,10045,28,13823,24,5363,29,8785,0,0,32,8009,26,7307,7,1097,3,430,47,8648,4,628,32,8492,61,37416,62,25352,105,40374,23,7108,43,18031,76,27237,27,7483,87,27861,31,10779,12,5575,117,39739,0,0,38,10516,0,0,4,786
Oban_0_2,T,24,27,1,3,12.58683093,0,0,10,3032,21,7256,43,20714,10,7256,11,5176,1,191,0,0,10,3112,82,39486,17,7634,50,24457,3,429,0,0,21,14260,15,6714,10,3291,30,11838,29,10318,51,21081,26,10761,81,25392,12,3730,4,1353,26,6727,68,23530,2,331,13,4473,77,34407,1,463,26,9538,24,12378,44,17325,167,65731,15,3644,42,15065,92,30581,97,40154,71,28684,21,7116,14,6484,155,68863,6,554,35,12320,9,1045,6,831
Speyburn_0_1,S,32,28,1,3,15.25836996,1,192,14,20872,37,25851,30,10491,10,2439,1,87,5,990,2,239,43,17679,73,19751,20,6319,39,13414,6,1439,5,4148,12,3088,20,7265,25,7627,16,7077,38,11770,159,50314,61,21846,97,12316,45,8932,6,1457,71,23981,123,44961,32,11445,20,5651,42,8028,6,1333,53,13903,83,35883,18,4514,34,12643,10,3658,24,9584,19,4392,9,3597,47,16751,5,1538,15,3789,20,7006,0,0,48,14875,3,630,14,4238
Speyburn_0_2,S,32,32,2,1,16.50767219,0,0,17,3615,13,2836,12,3347,0,0,1,188,3,642,34,6973,3,585,89,41121,0,0,57,24272,0,0,1,244,98,67952,15,6612,6,2276,31,8366,12,2516,15,4778,26,7684,202,49048,13,6053,2,414,28,10403,75,30460,0,0,5,1113,40,17441,4,3117,31,12107,70,22143,23,6086,28,10519,7,2019,6,695,7,1058,13,2883,43,15812,1,131,0,0,25,5560,3,290,71,17234,3,642,1,211
Tomatin_0_1,T,26,29,0,4,17.29641944,4,1447,18,3479,5,1308,53,15124,6,901,1,76,0,0,0,0,30,9350,95,18147,17,4458,46,13965,11,1627,10,1649,53,14580,3,451,13,3272,17,5299,5,2731,115,22435,53,15888,384,88476,64,18782,3,731,78,15953,83,19486,39,8631,17,2361,84,18201,2,142,174,50060,2,267,0,0,16,2271,12,2293,11,2661,16,3045,3,638,8,1604,12,2994,0,0,5,992,1,343,0,0,7,2475,1,96
Tomatin_0_2,T,26,37,0,3,18.19608789,0,0,6,607,1,127,13,2871,1,783,0,0,0,0,0,0,1,291,28,5678,0,0,5,956,0,0,4,337,4,372,0,0,0,0,7,844,0,0,3,485,0,0,0,0,0,0,0,0,0,0,14,2863,2,275,2,218,14,2142,0,0,17,2336,12,2300,2,330,9,1202,4,658,1,399,3,620,5,615,11,1667,3,1685,7,1179,5,842,3,326,4,794,0,0,7,1078
Wolfburn_0_1,S,28,30,0,4,19.90193548,5,1204,24,4540,30,9637,54,26714,31,13128,8,6276,1,344,1,179,57,21912,63,15076,12,3932,50,17972,1,51,5,1857,33,12602,5,845,12,4959,20,5996,19,5880,143,44355,40,9951,87,20087,50,14101,0,0,49,11092,117,44965,23,12064,13,2472,49,14041,10,6867,158,49330,0,0,17,4834,300,86584,32,5647,55,12097,268,73745,28,17326,71,18035,11,3840,9,1642,27,8363,5,1247,15,4086,15,3497,0,0
Wolfburn_0_2,S,26,31,0,5,19.38878788,0,0,0,0,0,0,0,0,5,767,2,311,0,0,5,2405,9,825,71,14002,0,0,22,5317,0,0,0,0,48,11556,0,0,1,315,0,0,0,0,9,1488,0,0,139,28774,3,602,0,0,13,1774,11,2527,4,319,4,441,46,9242,1,59,1,67,0,0,0,0,20,3460,0,0,20,3012,7,1069,4,785,1,327,1,671,1,367,0,0,1,219,1,95,2,698,0,0